monitoringlocationid,monitoringlocationname,monitoringlocationlatitude,monitoringlocationlongitude,count,mean,median,min,max
08-179,Wilcox Lake,43.949049,-79.436034,33,123.6654245979091,8.507056,0.0,1795.49
08-180,Eversley Lake,43.957772,-79.500823,21,9.174385344095239,2.693536844,0.0,57.16478497
08-183,Unnamed lake,43.747219,-79.735133,35,97.92992671348571,5.3,0.0,1276.397274
08-184,Heart Lake,43.740539,-79.795426,32,75.53477937815626,8.7787765,-0.016255,785.38
08-188,Fairy Lake,43.621242,-80.048136,35,79.2100628403143,9.399859,0.0,660.094137
08-192,Green Lake,43.839801,-80.008756,34,47.767219944882356,6.6471525,0.0,571.319059
10,Lake Ontario,43.668,-79.267,311,30.652959395498392,2.0,0.0014,386.0
10002,Lake Ontario:Ontario Place at  bay,43.6277629,-79.4148216,16,79.7875,23.7,0.0,363.0
1001,East Humber River,43.86944,-79.56667,8,173.5125,32.6,7.5,500.0
1002,Rouge River,43.86944,-79.37222,8,127.5875,21.450000000000003,7.2,400.0
1003,Rouge River,43.86944,-79.31667,8,128.5,25.75,6.8,400.0
1004,Rouge River,43.86944,-79.26667,8,184.3375,52.0,7.3,600.0
1005,Rouge River,43.86944,-79.20278,8,140.825,17.0,8.0,475.0
1007,Credit River Alton Branch,43.875,-80.1,8,98.8625,22.5,1.0,350.0
1008,Credit River Alton Branch,43.875,-80.075,8,112.025,25.0,0.0,400.0
1013,Rouge River,43.88333,-79.39444,6,48.6,11.1,5.0,239.4
1014,Duffins Creek,43.88333,-79.16944,8,125.8875,16.15,7.6,405.0
1018,Credit River,43.89167,-80.06944,8,154.475,25.25,0.0,600.0
1019,Humber River,43.89167,-79.85556,8,125.925,15.5,7.1,375.0
10238,Humber River:Second dam on Humber,43.6532295,-79.5027969,8,257.025,125.5,6.0,918.0
1024,Credit River,43.9,-80.03333,8,162.9875,20.0,8.0,575.0
1025,Centreville Creek,43.9,-79.85556,2,19.0,19.0,16.0,22.0
1026,Cold Creek,43.9,-79.73333,2,19.5,19.5,13.0,26.0
1027,Cold Creek,43.9,-79.71667,2,16.0,16.0,11.0,21.0
1031,Credit River,43.90278,-80.05,8,131.3625,18.5,7.2,450.0
1033,Humber River,43.90556,-79.83611,8,115.0875,16.1,5.0,350.0
1034,Humber River,43.90556,-79.71944,8,138.775,14.0,5.0,400.0
10341,Lake Ontario:Coronation Park,43.6328693,-79.4082355,9,70.72777777777777,24.7,0.0,292.0
1035,Centreville Creek,43.90833,-79.83333,2,23.0,23.0,20.0,26.0
1036,East Humber River,43.91111,-79.58889,8,208.7875,13.25,8.0,675.0
1038,Credit River,43.91389,-80.04722,8,137.975,21.5,7.6,500.0
1039,Centreville Creek,43.91389,-79.85833,2,22.0,22.0,18.0,26.0
1043,Credit River,43.91667,-80.05833,8,156.05,26.0,2.0,600.0
1044,Cold Creek,43.91667,-79.73333,2,17.5,17.5,14.0,21.0
1045,Rouge River,43.91667,-79.34722,8,160.325,18.35,2.0,505.0
1047,Credit River,43.92222,-80.06944,8,115.32499999999999,25.0,7.9,425.0
