activity_datetime,count,mean,median,min,max,year,month,month_name
1964-10-31,72,82.5425,9.5,0.01,964.0,1964,10,October
1964-11-30,76,402.84815789473686,6.35,0.01,11634.0,1964,11,November
1964-12-31,87,149.15850574712644,8.4,0.01,2778.0,1964,12,December
1965-01-31,108,646.3700925925926,10.3,0.05,30654.0,1965,1,January
1965-02-28,58,170.56034482758622,6.35,0.01,1790.0,1965,2,February
1965-03-31,137,194.89576642335768,11.2,0.01,1895.0,1965,3,March
1965-04-30,12,118.9225,2.35,0.01,662.0,1965,4,April
1965-05-31,143,139.24923076923076,8.2,0.01,3203.0,1965,5,May
1965-06-30,136,518.0817647058823,15.5,0.01,30654.0,1965,6,June
1965-07-31,353,361.1642209631728,10.8,0.01,22941.0,1965,7,July
1965-08-31,343,477.80104956268224,9.0,0.01,51634.0,1965,8,August
1965-09-30,74,206.26013513513513,5.4,0.01,1601.0,1965,9,September
1965-10-31,329,478.4110030395137,7.9,0.01,12941.0,1965,10,October
1965-11-30,219,67.89479452054795,2.5,0.01,820.0,1965,11,November
1965-12-31,171,727.8483040935672,20.0,0.01,20654.0,1965,12,December
1966-01-31,323,839.5386377708978,16.0,0.0,22941.0,1966,1,January
1966-02-28,168,367.1752380952381,6.0,0.0,13137.0,1966,2,February
1966-03-31,406,203.08839901477833,6.56,0.0,11307.0,1966,3,March
1966-04-30,205,315.07702439024393,6.7,0.01,11765.0,1966,4,April
1966-05-31,359,732.0142701949861,9.0,0.0,32124.0,1966,5,May
1966-06-30,418,698.8311339712918,10.0,0.007,30163.0,1966,6,June
1966-07-31,463,505.76391792656585,12.0,0.007,20915.0,1966,7,July
1966-08-31,498,604.2560381526104,9.75,0.003,21961.0,1966,8,August
1966-09-30,495,425.9315898989899,8.3,0.007,13203.0,1966,9,September
1966-10-31,529,841.3656465028356,8.3,0.0,22451.0,1966,10,October
1966-11-30,469,264.0214093816631,9.84,0.007,10327.0,1966,11,November
1966-12-31,493,264.62804665314405,7.38,0.0,21634.0,1966,12,December
1967-01-31,438,170.5602214611872,7.0,0.0,1964.0,1967,1,January
1967-02-28,529,254.16432514177697,8.0,0.0,6062.0,1967,2,February
1967-03-31,611,137.4120736497545,5.0,0.007,1800.0,1967,3,March
1967-04-30,505,253.27758415841583,9.0,0.01,11634.0,1967,4,April
1967-05-31,571,251.33828021015762,9.6,0.008,20817.0,1967,5,May
1967-06-30,601,447.67900166389353,12.0,0.01,21797.0,1967,6,June
1967-07-31,561,429.04688591800357,18.0,0.003,12222.0,1967,7,July
1967-08-31,624,386.3363894230769,13.0,0.0,31961.0,1967,8,August
1967-09-30,365,236.15485479452053,9.9,0.0,10327.0,1967,9,September
1967-10-31,457,290.11504376367617,10.0,0.002,12124.0,1967,10,October
1967-11-30,544,197.88231617647057,6.55,0.0,12614.0,1967,11,November
1967-12-31,419,266.4529665871122,6.6,0.005,22288.0,1967,12,December
1968-01-31,588,482.6007602040816,8.399999999999999,0.0,22614.0,1968,1,January
1968-02-29,462,317.25928571428574,7.5600000000000005,0.0,21307.0,1968,2,February
1968-03-31,663,202.41386274509804,8.88,0.0,20654.0,1968,3,March
1968-04-30,712,205.76280337078654,8.0,0.003,22647.0,1968,4,April
1968-05-31,540,163.3542462962963,8.0,0.003,2784.0,1968,5,May
1968-06-30,406,400.70537192118223,10.99,0.005,31471.0,1968,6,June
1968-07-31,735,266.16179047619045,9.0,0.0,22288.0,1968,7,July
1968-08-31,433,345.92285912240186,10.0,0.003,20654.0,1968,8,August
1968-09-30,521,351.3089366602687,10.0,0.0,21961.0,1968,9,September
1968-10-31,738,327.89025609756095,8.6,0.0,21961.0,1968,10,October
1968-11-30,491,537.2943767820774,8.0,0.002,50654.0,1968,11,November
1968-12-31,369,220.5797235772358,5.0,0.0,21634.0,1968,12,December
1969-01-31,619,184.0057592891761,7.0,0.0,4493.0,1969,1,January
1969-02-28,438,184.39321689497717,6.75,0.0,3050.0,1969,2,February
