activity_datetime,characteristicname,count,mean,median,min,max,year,month,month_name
1964-10-31,Dissolved oxygen (DO),10,8.17,11.149999999999999,1.8,12.1,1964,10,October
1964-10-31,Kjeldahl nitrogen,4,1.1075,0.65,0.33,2.8,1964,10,October
1964-10-31,"Temperature, water",10,12.45,11.0,9.5,18.0,1964,10,October
1964-10-31,"Total Phosphorus, mixed forms",4,5.165,0.255,0.15,20.0,1964,10,October
1964-11-30,Chloride,1,360.0,360.0,360.0,360.0,1964,11,November
1964-11-30,Dissolved oxygen (DO),10,11.67,12.850000000000001,6.2,14.2,1964,11,November
1964-11-30,Kjeldahl nitrogen,4,5.15,3.35,0.9,13.0,1964,11,November
1964-11-30,"Temperature, water",10,1.95,1.5,0.5,4.5,1964,11,November
1964-11-30,"Total Phosphorus, mixed forms",4,2909.045,0.98,0.22,11634.0,1964,11,November
1964-12-31,Chloride,1,265.0,265.0,265.0,265.0,1964,12,December
1964-12-31,Dissolved oxygen (DO),11,10.472727272727273,8.9,4.6,15.3,1964,12,December
1964-12-31,Kjeldahl nitrogen,3,6.466666666666666,1.5,0.9,17.0,1964,12,December
1964-12-31,"Temperature, water",11,1.781818181818182,1.0,0.3,5.5,1964,12,December
1964-12-31,"Total Phosphorus, mixed forms",3,926.0833333333334,0.2,0.05,2778.0,1964,12,December
1965-01-31,Chloride,2,237.0,237.0,79.0,395.0,1965,1,January
1965-01-31,Dissolved oxygen (DO),12,9.799999999999999,10.8,2.8,12.0,1965,1,January
1965-01-31,Kjeldahl nitrogen,4,13.15,11.0,6.6,24.0,1965,1,January
1965-01-31,"Temperature, water",12,1.8499999999999999,0.5,0.3,6.0,1965,1,January
1965-01-31,"Total Phosphorus, mixed forms",4,10460.25,5588.5,10.0,30654.0,1965,1,January
1965-02-28,Dissolved oxygen (DO),6,11.316666666666668,12.0,8.4,13.9,1965,2,February
1965-02-28,Kjeldahl nitrogen,4,3.4250000000000003,1.4,1.0,9.9,1965,2,February
1965-02-28,"Temperature, water",6,2.716666666666667,2.5,0.3,5.0,1965,2,February
1965-02-28,"Total Phosphorus, mixed forms",3,0.7166666666666667,0.21,0.11,1.83,1965,2,February
1965-03-31,Chloride,2,112.0,112.0,19.0,205.0,1965,3,March
1965-03-31,Dissolved oxygen (DO),14,11.5,11.85,7.6,15.2,1965,3,March
1965-03-31,Kjeldahl nitrogen,6,5.701666666666667,5.800000000000001,0.91,12.0,1965,3,March
1965-03-31,"Temperature, water",14,3.142857142857143,3.25,1.0,5.5,1965,3,March
1965-03-31,"Total Phosphorus, mixed forms",6,599.14,0.31,0.07,1895.0,1965,3,March
1965-04-30,Chloride,1,52.0,52.0,52.0,52.0,1965,4,April
1965-04-30,Kjeldahl nitrogen,1,1.7,1.7,1.7,1.7,1965,4,April
1965-04-30,"Total Phosphorus, mixed forms",1,0.32,0.32,0.32,0.32,1965,4,April
1965-05-31,Chloride,9,114.44444444444444,126.0,13.0,315.0,1965,5,May
1965-05-31,Dissolved oxygen (DO),12,8.833333333333334,8.7,7.0,11.2,1965,5,May
1965-05-31,Kjeldahl nitrogen,12,5.4225,1.7000000000000002,0.71,23.0,1965,5,May
1965-05-31,"Temperature, water",12,15.575000000000001,15.7,13.5,18.0,1965,5,May
1965-05-31,"Total Phosphorus, mixed forms",11,291.42727272727274,0.11,0.02,3203.0,1965,5,May
1965-06-30,Chloride,10,99.5,57.0,22.0,268.0,1965,6,June
1965-06-30,Dissolved oxygen (DO),4,7.1499999999999995,7.15,4.6,9.7,1965,6,June
1965-06-30,Kjeldahl nitrogen,10,13.341999999999999,1.65,0.52,61.8,1965,6,June
1965-06-30,"Temperature, water",4,18.0,17.5,16.0,21.0,1965,6,June
1965-06-30,"Total Phosphorus, mixed forms",8,1303.2425,0.75,0.17,10392.0,1965,6,June
1965-07-31,Chloride,24,88.5,77.0,3.0,294.0,1965,7,July
1965-07-31,Dissolved oxygen (DO),23,8.673913043478262,9.8,2.0,12.2,1965,7,July
1965-07-31,Kjeldahl nitrogen,30,3.985,1.025,0.43,20.0,1965,7,July
1965-07-31,"Temperature, water",23,19.695652173913043,19.5,15.0,25.5,1965,7,July
1965-07-31,"Total Phosphorus, mixed forms",25,2535.5004,30.0,0.05,21634.0,1965,7,July
1965-08-31,Chloride,23,90.47826086956522,69.0,10.0,269.0,1965,8,August
1965-08-31,Dissolved oxygen (DO),14,7.435714285714285,9.0,0.2,13.0,1965,8,August
